Final Rank,Person,Affiliation,Primary Medium,D-,D,S,R,R-,Reach / Audience Signal,Weekly
1,Joe Rogan,SPOTIFY,Podcast / YouTube,10,23,100,22,7,"#1 U.S. podcast, Q1 2026",
2,Sean Hannity,FOX,Cable TV,2,5,12,30,100,~14.5M weekly radio listeners ,"14,500,000"
3,Bill Maher,HBO,Cable TV,2,8,40,100,7,~1M TV + podcast/digital audience,
4,Laura Ingraham,FOX,Cable TV,2,5,12,100,38,~2.3–2.5M nightly viewers,
5,David Muir,ABC,Broadcast TV,8,100,28,25,,~8.3M nightly viewers,
6,Leland Vittert,NEWSNATION,Cable TV,5,20,100,28,6,Major weekday primetime,
7,Tony Dokoupil,CBS,Broadcast TV,8,100,28,25,7,~4M nightly,
8,Will Cain,FOX,Cable TV,2,5,12,100,38,~2M daily audience signal,
9,Elizabeth Vargas,NEWSNATION,Cable TV,6,27,100,22,5,Major weekday news program,
10,Scott Jennings,CNN,Cable TV,2,5,12,100,38,~500K–700K nightly,
11,Megyn Kelly,SIRIUSXM,Podcast / YouTube,2,5,12,100,38,4.14M YouTube subscribers,
12,Lester Holt,NBC,Broadcast TV,8,100,28,25,7,~2.6M program audience,
13,Ben Shapiro,DAILYWIRE,Podcast / Social,2,5,12,100,38,~#15 podcast in recent ranking,
14,Connell McShane,NEWSNATION,Cable TV,4,20,100,28,6,NewsNation daytime audience,
15,Jesse Watters,FOX,Cable TV,2,5,12,100,38,2.98M nightly viewers,
16,Steve Inskeep,NPR,Radio,8,100,22,13,5,~13.1M weekly program audience,
17,Dana Perino,FOX,Cable TV,4,10,22,100,18,3M+ The Five program audience*,
18,Martha MacCallum,FOX,Cable TV,4,10,22,100,18,~1.8–1.9M viewers,
19,Ezra Klein,NYT,Print / Digital,24,100,18,7,2,Major NYT podcast; ~750K,
20,Craig Melvin,NBC,Broadcast TV,8,100,28,25,7,~2.6M program audience,
21,Ari Shapiro,NPR,Radio,8,100,22,13,5,~14.7M weekly program audience,
22,Nichole Berlie,NEWSNATION,Cable TV,6,26,100,21,5,Daytime NewsNation audience,
23,Bret Baier,FOX,Cable TV,4,10,22,100,18,2.52M nightly viewers,
24,Greg Gutfeld,FOX,Cable TV,2,5,12,100,38,2.63M nightly viewers,
25,Tom Llamas,NBC,Broadcast TV,8,100,28,25,7,~6.7M nightly viewers,
