Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Distro 1,Distro 2 ,Distro 3,Distro 4,Distro 5,Distro 6,Distro 7
71,Kristen Welker,NBC,Broadcast TV,"3,322,237",1.334,0.827,0.508,0.309,0.189,0.151,0.004
72,Deborah Roberts,ABC,Broadcast TV,"3,271,466",1.313,0.814,0.5,0.304,0.186,0.149,0.004
73,Bill O'Reilly,NEWSNATION,Cable TV,"3,186,283",1.279,0.793,0.487,0.297,0.182,0.145,0.004
74,Hena Doba,NEWSNATION,Cable TV,"3,129,862",1.256,0.779,0.478,0.291,0.178,0.143,0.004
75,John King,CNN,Cable TV,"2,980,582",1.196,0.742,0.456,0.277,0.17,0.136,0.004
76,Greg Gutfeld,FOX,Cable TV,"2,939,691",1.18,0.731,0.449,0.274,0.167,0.134,0.004
77,Harold Ford Jr.,FOX,Cable TV,"2,834,305",1.138,0.705,0.433,0.264,0.161,0.129,0.004
78,Sam Harris,YOUTUBE,Podcast,"2,832,358",1.137,0.705,0.433,0.264,0.161,0.129,0.004
79,Chris Wallace,CNN,Cable TV,"2,731,011",1.096,0.679,0.417,0.254,0.156,0.124,0.004
80,Byron Pitts,ABC,Broadcast TV,"2,722,389",1.093,0.677,0.416,0.253,0.155,0.124,0.004
81,Chris Hayes,MS NOW,Cable TV,"2,668,285",1.071,0.664,0.408,0.248,0.152,0.122,0.004
82,Cenk Uygur,TYT,Digital Video,"2,781,019",1.116,0.692,0.425,0.259,0.158,0.127,0.004
83,David Ignatius,The Washington Post,Print,"2,520,634",1.012,0.627,0.385,0.235,0.144,0.115,0.004
84,George F. Will,The Washington Post,Print,"2,484,696",0.997,0.618,0.38,0.231,0.142,0.113,0.004
85,Maria Bartiromo,FOX,Cable TV,"2,446,660",0.982,0.609,0.374,0.228,0.139,0.111,0.004
86,Lawrence O'Donnell,MS NOW,Cable TV,"2,342,185",0.94,0.583,0.358,0.218,0.133,0.107,0.004
87,Neil Cavuto,FOX,Cable TV,"2,289,163",0.918,0.569,0.35,0.213,0.13,0.104,0.004
88,Kaitlan Collins,CNN,Cable TV,"2,263,487",0.908,0.563,0.346,0.211,0.129,0.103,0.004
89,Mehdi Hasan,ZETEO,Digital Video,"2,237,811",0.898,0.557,0.342,0.208,0.127,0.102,0.004
90,Joe Scarborough,MS NOW,Cable TV,"2,212,136",0.888,0.55,0.338,0.206,0.126,0.101,0.004
91,Mika Brzezinski,MS NOW,Cable TV,"2,186,460",0.877,0.544,0.334,0.203,0.125,0.1,0.004
92,Kayleigh McEnany,FOX,Cable TV,"2,160,784",0.867,0.537,0.33,0.201,0.123,0.098,0.004
93,John Berman,CNN,Cable TV,"2,135,108",0.857,0.531,0.326,0.199,0.122,0.097,0.004
94,Rachel Maddow,MS NOW,Cable TV,"2,109,432",0.846,0.525,0.322,0.196,0.12,0.096,0.004
95,Sarah Isgur,The Dispatch,Podcast,"2,083,756",0.836,0.518,0.318,0.194,0.119,0.095,0.004
96,Laura Ingle,NEWSNATION,Cable TV,"2,058,081",0.826,0.512,0.314,0.191,0.117,0.094,0.004
97,David French,NYT,Print,"2,032,405",0.815,0.505,0.31,0.189,0.116,0.093,0.004
98,Benny Johnson,YOUTUBE,Podcast,"2,006,729",0.805,0.499,0.307,0.187,0.114,0.091,0.004
99,Fareed Zakaria,CNN,Cable TV,"1,981,053",0.795,0.493,0.303,0.184,0.113,0.09,0.004
100,Jonathan Karl,ABC,Broadcast TV,"1,955,377",0.784,0.486,0.299,0.182,0.111,0.089,0.004
101,Abby Phillip,CNN,Cable TV,"1,929,701",0.774,0.48,0.295,0.179,0.11,0.088,0.004
102,Nicolle Wallace,MS NOW,Cable TV,"1,262,130",0.506,0.313,0.193,0.117,0.072,0.057,0.004
103,Markie Martin,NEWSNATION,Cable TV,"1,878,350",0.753,0.467,0.287,0.175,0.107,0.086,0.004
104,Michelle Goldberg,NYT,Print,"1,852,674",0.743,0.461,0.283,0.172,0.105,0.084,0.004
105,Steven Crowder,RUMBLE,Podcast,"1,826,998",0.733,0.454,0.279,0.17,0.104,0.083,0.004
106,Jen Psaki,MS NOW,Cable TV,"1,801,322",0.722,0.448,0.275,0.167,0.103,0.082,0.004
107,Jane Pauley,CBS,Broadcast TV,"1,775,646",0.712,0.441,0.271,0.165,0.101,0.081,0.004
108,Allie Beth Stuckey,BLAZE,Podcast,"1,749,971",0.702,0.435,0.267,0.163,0.1,0.08,0.004
109,Matt Taibbi,RACKET NEWS,Print,"1,724,295",0.691,0.429,0.263,0.16,0.098,0.079,0.004
110,Astead Herndon,NYT,Podcast,"1,698,619",0.681,0.422,0.259,0.158,0.097,0.077,0.004
111,Derek Thompson,The Atlantic,Print,"1,672,943",0.671,0.416,0.255,0.156,0.095,0.076,0.004
112,Vivek Ramaswamy,YOUTUBE,Podcast,"1,647,267",0.66,0.409,0.252,0.153,0.094,0.075,0.004
113,Dan Bongino,RUMBLE,Podcast,"1,621,591",0.65,0.403,0.248,0.151,0.092,0.074,0.004
114,Jason L. Riley,The Wall Street Journal,Print ,"1,599,071",0.641,0.397,0.244,0.149,0.091,0.073,0.004
115,Alyssa Farah,The View,Broadcast TV,"1,570,240",0.63,0.39,0.24,0.146,0.089,0.071,0.004
116,Kate Bolduan,CNN,Cable TV,"1,544,564",0.619,0.384,0.236,0.144,0.088,0.07,0.004
117,Victor Blackwell,CNN,Cable TV,"1,518,888",0.609,0.377,0.232,0.141,0.086,0.069,0.004
118,Savannah Guthrie,NBC,Broadcast TV,"1,493,212",0.599,0.371,0.228,0.139,0.085,0.068,0.004
119,Joy Behar,The View,Broadcast TV,"1,236,454",0.495,0.307,0.189,0.115,0.07,0.056,0.004
120,Patrick Bet-David,VALUETAINMENT,Podcast,"1,441,861",0.578,0.358,0.22,0.134,0.082,0.066,0.004
121,Tucker Carlson,TCN,Podcast,"1,416,185",0.568,0.352,0.216,0.132,0.081,0.064,0.004
122,Reihan Salam,FREE PRESS,Print,"1,390,509",0.557,0.345,0.212,0.129,0.079,0.063,0.004
123,Alex Thompson,AXIOS,Print,"1,364,833",0.547,0.339,0.208,0.127,0.078,0.062,0.004
124,Katie Pavlich,NEWSNATION,Cable TV,"1,339,157",0.537,0.333,0.204,0.124,0.076,0.061,0.004
125,Megan McArdle,The Washington Post,Print,"1,313,482",0.526,0.326,0.2,0.122,0.075,0.06,0.004
126,Amna Nawaz,PBS,Broadcast TV,"1,287,806",0.516,0.32,0.196,0.12,0.073,0.059,0.004
127,Kimberley A. Strassel,The Wall Street Journal,Print,"1,274,026",0.51,0.316,0.194,0.118,0.072,0.058,0.004
128,Whoopi Goldberg,The View,Broadcast TV,"1,236,454",0.495,0.307,0.189,0.115,0.07,0.056,0.004
129,Emily Jashinsky,MK MEDIA,Podcast,"1,210,778",0.485,0.301,0.185,0.112,0.069,0.055,0.004
