Rank,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Done
1,Joe Rogan,SPOTIFY,Podcast,"14,900,000",,1
2,Sean Hannity,FOX,Cable TV,"14,556,081",,1
3,Bill Maher,HBO,Cable TV,"14,088,042",,1
4,Laura Ingraham,FOX,Cable TV,"13,927,316",,1
5,David Muir,ABC,Broadcast TV,"13,854,611",,1
6,Lester Holt,NBC,Broadcast TV,"13,588,264",,1
7,Tony Dokoupil,CBS,Broadcast TV,"13,367,175",,1
8,Leland Vittert,NEWSNATION,Cable TV,"13,155,600",,1
9,Elizabeth Vargas,NEWSNATION,Cable TV,"13,062,658",,1
10,Tom Llamas,NBC,Broadcast TV,"12,908,194",,1
11,Megyn Kelly,SIRIUSXM,Podcast,"12,803,872",,1
12,Scott Jennings,CNN,Cable TV,"12,672,831",,1
13,Will Cain,FOX,Cable TV,"12,439,615",,1
14,Connell McShane,NEWSNATION,Cable TV,"12,098,234",,1
15,Jesse Watters,FOX,Cable TV,"12,096,588",,1
16,George Stephanopoulos,ABC,Broadcast TV,"11,585,786",,1
17,Margaret Brennan,CBS,Broadcast TV,"11,217,609",,1
18,Martha MacCallum,FOX,Cable TV,"10,983,218",,1
19,Ezra Klein,NYT,Print,"10,774,514",Liberal,1
20,Stephen A. Smith,YOUTUBE,Podcast,"10,921,443",,1
21,Ari Shapiro,NPR,Radio,"10,375,766",Liberal,1
22,Nichole Berlie,NEWSNATION,Cable TV,"10,160,644",,1
23,Bret Baier,FOX,Cable TV,"9,962,958",Conservative,1
24,Norah O'Donnell,CBS,Broadcast TV,"9,764,829",,1
25,Ben Shapiro,DAILYWIRE,Podcast,"9,706,126",Very Conservative,1
26,Ross Douthat,NYT,Print,"9,389,332",Conservative,1
27,Piers Morgan,YOUTUBE,Digital Video,"9,316,976",Conservative,1
28,Dana Perino,FOX,Cable TV,"9,152,883",Conservative,1
29,Blake Burman,NEWSNATION,Cable TV,"8,469,303",Conservative,1
30,Maggie Haberman,NYT,Print,"8,297,442",Liberal,1
31,Michael Smerconish,CNN,Cable TV,"8,131,629",,1
32,Mark Levin,FOX,Cable TV,"7,954,219",Very Conservative,1
33,Chris Cuomo,NEWSNATION,Cable TV,"7,696,559",,1
34,Chris Stirewalt,NEWSNATION,Cable TV,"7,564,156",Conservative,1
35,Wolf Blitzer,CNN,Cable TV,"7,417,757",,1
36,Jesse Weber,NEWSNATION,Cable TV,"7,272,474",,1
37,Jessica Tarlov,FOX,Cable TV,"7,151,504",Very Liberal,1
38,Craig Melvin,NBC,Broadcast TV,"6,993,676",,1
39,Michael Knowles,DAILYWIRE,Podcast,"6,974,035",Very Conservative,1
40,Brian Entin,NEWSNATION,Cable TV,"6,700,197",Liberal,1
41,Steve Inskeep,NPR,Radio,"6,621,499",Liberal,1
