Rank,Person,Outlet / Platform,Primary Medium
1,Joe Rogan,SPOTIFY,Podcast
2,Sean Hannity,FOX,Cable TV
3,Bill Maher,HBO,Cable TV
4,Laura Ingraham,FOX,Cable TV
5,David Muir,ABC,Broadcast TV
6,Lester Holt,NBC,Broadcast TV
7,Tony Dokoupil,CBS,Broadcast TV
8,Leland Vittert,NEWSNATION,Cable TV
9,Elizabeth Vargas,NEWSNATION,Cable TV
10,Tom Llamas,NBC,Broadcast TV
11,Megyn Kelly,SIRIUSXM,Podcast
12,Scott Jennings,CNN,Cable TV
13,Will Cain,FOX,Cable TV
14,Connell McShane,NEWSNATION,Cable TV
15,Jesse Watters,FOX,Cable TV
16,George Stephanopoulos,ABC,Broadcast TV
17,Margaret Brennan,CBS,Broadcast TV
18,Martha MacCallum,FOX,Cable TV
19,Ezra Klein,NYT,Print
20,Stephen A. Smith,YOUTUBE,Podcast
21,Ari Shapiro,NPR,Radio
22,Nichole Berlie,NEWSNATION,Cable TV
23,Bret Baier,FOX,Cable TV
24,Norah O'Donnell,CBS,Broadcast TV
25,Ben Shapiro,DAILYWIRE,Podcast
26,Ross Douthat,NYT,Print
27,Katie Pavlich,NEWSNATION,Cable TV
28,Dana Perino,FOX,Cable TV
29,Blake Burman,NEWSNATION,Cable TV
30,Maggie Haberman,NYT,Print
31,Michael Smerconish,CNN,Cable TV
32,Mark Levin,FOX,Cable TV
33,Chris Cuomo,NEWSNATION,Cable TV
34,Chris Stirewalt,NEWSNATION,Cable TV
35,Wolf Blitzer,CNN,Cable TV
36,Jesse Weber,NEWSNATION,Cable TV
37,Jessica Tarlov,FOX,Cable TV
38,Craig Melvin,NBC,Broadcast TV
39,Michael Knowles,DAILYWIRE,Podcast
40,Brian Entin,NEWSNATION,Cable TV
41,Steve Inskeep,NPR,Radio
42,Shannon Bream,FOX,Cable TV
43,John Dickerson,CBS,Broadcast TV
44,Brian Kilmeade,FOX,Cable TV
45,Saagar Enjeti,BREAKINGPOINTS,Digital Video
46,Lex Fridman,YOUTUBE,Podcast
47,Anderson Cooper,CNN,Cable TV
48,Shawn Ryan,YOUTUBE,Podcast
49,Kasie Hunt,CNN,Cable TV
50,David Brooks,NYT / PBS,Print
51,Bianna Golodryga,CNN,Cable TV
52,Krystal Ball,BREAKINGPOINTS,Digital Video
53,Piers Morgan,YOUTUBE,Digital Video
54,Jake Tapper,CNN,Cable TV
55,Kai Ryssdal,NPR / APM,Radio
56,Jordan Peterson,YOUTUBE,Podcast
57,Peter Doocy,FOX,Cable TV
58,Harris Faulkner,FOX,Cable TV
59,Matt Walsh,DAILYWIRE,Podcast
60,Maureen Dowd,NYT,Print
61,Kaitlan Collins,CNN,Cable TV
62,Mary Louise Kelly,NPR,Radio
63,Dana Bash,CNN,Cable TV
64,Anna Kooiman,NEWSNATION,Cable TV
65,Terry Gross,NPR,Radio
66,Nate Silver,SUBSTACK,Podcast
67,Ben Meiselas,MEIDASTOUCH,Podcast
68,Douglas Murray,Author,Print
69,Andrew Huberman,YOUTUBE,Podcast
70,Nick Smith,NEWSNATION,Cable TV
71,Kristen Welker,NBC,Broadcast TV
72,Deborah Roberts,ABC,Broadcast TV
73,Bill O'Reilly,NO SPIN NEWS,Podcast
74,Hena Doba,NEWSNATION,Cable TV
75,John King,CNN,Cable TV
76,Greg Gutfeld,FOX,Cable TV
77,Harold Ford Jr.,FOX,Cable TV
78,Sam Harris,YOUTUBE,Podcast
79,Chris Wallace,CNN,Cable TV
80,Ana Kasparian,TYT,Digital Video
81,Chris Hayes,MS NOW,Cable TV
82,Cenk Uygur,TYT,Digital Video
83,Abby Phillip,CNN,Cable TV
84,Amna Nawaz,PBS,Broadcast TV
85,Maria Bartiromo,FOX,Cable TV
86,Lawrence O'Donnell,MS NOW,Cable TV
87,Neil Cavuto,FOX,Cable TV
88,Erin Burnett,CNN,Cable TV
89,Mehdi Hasan,ZETEO,Digital Video
90,Joe Scarborough,MS NOW,Cable TV
91,Mika Brzezinski,MS NOW,Cable TV
92,Dan Bongino,RUMBLE,Podcast
93,John Berman,CNN,Cable TV
94,Rachel Maddow,MS NOW,Cable TV
95,Sarah Isgur,The Dispatch,
96,Laura Ingle,NEWSNATION,Cable TV
97,David French,NYT,
