rank,person,viewerScoreMillions,distro1,distro2,distro3,distro4,distro5,distro6,distro7,paintedZeroCells,colorsPresent,radialApplied,peakX,peakZ
14,"Connell McShane",12.098234,4.861,3.013,1.851,1.127,0.69,0.552,0.004,64,7,true,11,13
15,"Jesse Watters",12.096588,4.86,3.013,1.851,1.127,0.69,0.552,0.004,196,7,true,21,10
16,"George Stephanopoulos",11.585786,4.655,2.885,1.773,1.079,0.661,0.529,0.004,81,7,true,8,13
17,"Margaret Brennan",11.217609,4.507,2.794,1.716,1.045,0.64,0.512,0.004,95,7,true,8,13
18,"Martha MacCallum",10.983218,4.413,2.735,1.68,1.023,0.626,0.501,0.004,91,7,true,15,13
19,"Ezra Klein",10.774514,4.329,2.683,1.648,1.004,0.614,0.492,0.004,64,7,true,13,15
20,"Stephen A. Smith",10.921443,4.388,2.72,1.671,1.017,0.623,0.498,0.004,35,7,true,10,13
21,"Ari Shapiro",10.375766,4.169,2.584,1.587,0.967,0.592,0.473,0.004,113,7,true,10,15
22,"Nichole Berlie",10.160644,4.082,2.53,1.554,0.946,0.579,0.464,0.004,245,7,true,13,12
23,"Bret Baier",9.962958,4.003,2.481,1.524,0.928,0.568,0.455,0.004,104,7,true,14,14
24,"Norah O'Donnell",9.764829,3.923,2.432,1.494,0.91,0.557,0.446,0.004,125,7,true,10,15
25,"Ben Shapiro",9.706126,3.9,2.417,1.485,0.904,0.554,0.443,0.004,222,7,true,20,12
26,"Ross Douthat",9.389332,3.772,2.338,1.436,0.875,0.535,0.428,0.004,101,7,true,15,14
27,"Piers Morgan",9.316976,3.743,2.32,1.425,0.868,0.531,0.425,0.004,110,7,false,14,11
28,"Dana Perino",9.152883,3.677,2.279,1.4,0.853,0.522,0.418,0.004,101,7,false,16,14
29,"Blake Burman",8.469303,3.403,2.109,1.296,0.789,0.483,0.386,0.004,93,7,true,14,16
30,"Maggie Haberman",8.297442,3.333,2.066,1.269,0.773,0.473,0.379,0.004,76,7,true,10,15
31,"Michael Smerconish",8.131629,3.267,2.025,1.244,0.757,0.464,0.371,0.004,104,7,true,10,15
32,"Mark Levin",7.954219,3.195,1.981,1.217,0.741,0.454,0.363,0.004,233,7,false,15,15
33,"Chris Cuomo",7.696559,3.092,1.916,1.177,0.717,0.439,0.351,0.004,282,7,true,4,10
34,"Chris Stirewalt",7.564156,3.039,1.883,1.157,0.705,0.431,0.345,0.004,93,7,true,15,14
35,"Wolf Blitzer",7.417757,2.98,1.847,1.135,0.691,0.423,0.338,0.004,113,7,true,11,13
36,"Jesse Weber",7.272474,2.921,1.811,1.112,0.677,0.415,0.332,0.004,119,7,true,10,15
37,"Jessica Tarlov",7.151504,2.873,1.781,1.094,0.666,0.408,0.326,0.004,181,7,true,11,11
