rank,csvPerson,savedLayerName,viewerScoreMillions,distro1,distro2,distro3,distro4,distro5,distro6,distro7,paintedZeroCells,colorsPresent,radialApplied,peakX,peakZ
71,"Kristen Welker","Kristen Welker",3.322237,1.334,0.827,0.508,0.309,0.189,0.151,0.004,194,7,true,6,9
72,"Deborah Roberts","Deborah Roberts",3.271466,1.313,0.814,0.5,0.304,0.186,0.149,0.004,92,7,true,13,11
73,"Bill O'Reilly","Bill O'Reilly",3.186283,1.279,0.793,0.487,0.297,0.182,0.145,0.004,227,7,true,16,13
74,"Hena Doba","Hena Doba",3.129862,1.256,0.779,0.478,0.291,0.178,0.143,0.004,258,7,false,19,13
75,"John King","John King",2.980582,1.196,0.742,0.456,0.277,0.17,0.136,0.004,217,7,true,6,12
76,"Greg Gutfeld","Greg Gutfeld",2.939691,1.18,0.731,0.449,0.274,0.167,0.134,0.004,174,7,true,19,11
77,"Harold Ford Jr.","Harold Ford Jr.",2.834305,1.138,0.705,0.433,0.264,0.161,0.129,0.004,274,7,false,8,8
78,"Sam Harris","Sam Harris",2.832358,1.137,0.705,0.433,0.264,0.161,0.129,0.004,264,7,true,4,16
79,"Chris Wallace","Chris Wallace",2.731011,1.096,0.679,0.417,0.254,0.156,0.124,0.004,87,7,true,13,12
80,"Byron Pitts","Byron Pitts",2.722389,1.093,0.677,0.416,0.253,0.155,0.124,0.004,230,7,true,9,12
81,"Chris Hayes","Chris Hayes",2.668285,1.071,0.664,0.408,0.248,0.152,0.122,0.004,193,7,true,7,11
82,"Cenk Uygur","Cenk Uygur",2.781019,1.116,0.692,0.425,0.259,0.158,0.127,0.004,155,7,true,7,11
83,"David Ignatius","David Ignatius",2.520634,1.012,0.627,0.385,0.235,0.144,0.115,0.004,272,7,true,8,13
84,"George F. Will","George F. Will",2.484696,0.997,0.618,0.38,0.231,0.142,0.113,0.004,287,7,true,19,11
85,"Maria Bartiromo","Maria Bartiromo",2.44666,0.982,0.609,0.374,0.228,0.139,0.111,0.004,243,7,false,16,11
86,"Lawrence O'Donnell","Lawrence O'Donnell",2.342185,0.94,0.583,0.358,0.218,0.133,0.107,0.004,337,7,true,1,11
87,"Neil Cavuto","Neil Cavuto",2.289163,0.918,0.569,0.35,0.213,0.13,0.104,0.004,260,7,false,17,13
88,"Kaitlan Collins","Kaitlan Collins",2.263487,0.908,0.563,0.346,0.211,0.129,0.103,0.004,411,7,false,2,7
89,"Mehdi Hasan","Mehdi Hasan",2.237811,0.898,0.557,0.342,0.208,0.127,0.102,0.004,349,7,true,1,12
90,"Joe Scarborough","Joe Scarborough",2.212136,0.888,0.55,0.338,0.206,0.126,0.101,0.004,294,7,true,2,11
91,"Mika Brzezinski","Mika Brzezinski",2.18646,0.877,0.544,0.334,0.203,0.125,0.1,0.004,322,7,true,2,11
92,"Kayleigh McEnany","Kayleigh McEnany",2.160784,0.867,0.537,0.33,0.201,0.123,0.098,0.004,217,7,true,21,14
93,"John Berman","John Berman",2.135108,0.857,0.531,0.326,0.199,0.122,0.097,0.004,199,7,true,9,18
94,"Rachel Maddow","Rachel Maddow",2.109432,0.846,0.525,0.322,0.196,0.12,0.096,0.004,324,7,true,3,8
95,"Sarah Isgur","Sarah Isgur",2.083756,0.836,0.518,0.318,0.194,0.119,0.095,0.004,79,7,true,13,13
96,"Laura Ingle","Laura Ingle",2.058081,0.826,0.512,0.314,0.191,0.117,0.094,0.004,239,7,false,13,13
97,"David French","David French",2.032405,0.815,0.505,0.31,0.189,0.116,0.093,0.004,195,7,true,13,19
98,"Benny Johnson","Benny Johnson",2.006729,0.805,0.499,0.307,0.187,0.114,0.091,0.004,169,7,true,16,13
99,"Fareed Zakaria","Fareed Zakaria",1.981053,0.795,0.493,0.303,0.184,0.113,0.09,0.004,182,7,true,8,9
100,"Jonathan Karl","Jonathan Karl",1.955377,0.784,0.486,0.299,0.182,0.111,0.089,0.004,123,7,true,8,8
101,"Abby Phillip","Abby Phillip",1.929701,0.774,0.48,0.295,0.179,0.11,0.088,0.004,395,7,true,1,11
102,"Nicolle Wallace","Nicolle Wallace",1.26213,0.506,0.313,0.193,0.117,0.072,0.057,0.004,352,7,false,5,10
103,"Markie Martin","Markie Martin",1.87835,0.753,0.467,0.287,0.175,0.107,0.086,0.004,132,6,true,18,12
104,"Michelle Goldberg","Michelle Goldberg",1.852674,0.743,0.461,0.283,0.172,0.105,0.084,0.004,166,7,true,8,12
