Rank,in App,Person,Outlet / Platform,Primary Medium,ViewerScorey,Political Category 1,Previous in App,Match Status,Matched App Name,Possible Issue
1,1,Joe Rogan,SPOTIFY,Podcast,"14,900,000",,1,Exact app match,Joe Rogan,
2,1,Sean Hannity,FOX,Cable TV,"14,556,081",,1,Exact app match,Sean Hannity,
3,1,Bill Maher,HBO,Cable TV,"14,088,042",,1,Exact app match,Bill Maher,
4,1,Laura Ingraham,FOX,Cable TV,"13,927,316",,1,Exact app match,Laura Ingraham,
5,1,David Muir,ABC,Broadcast TV,"13,854,611",,1,Exact app match,David Muir,
6,1,Lester Holt,NBC,Broadcast TV,"13,588,264",,1,Exact app match,Lester Holt,
7,1,Tony Dokoupil,CBS,Broadcast TV,"13,367,175",,1,Exact app match,Tony Dokoupil,
8,1,Leland Vittert,NEWSNATION,Cable TV,"13,155,600",,1,Exact app match,Leland Vittert,
9,1,Elizabeth Vargas,NEWSNATION,Cable TV,"13,062,658",,1,Exact app match,Elizabeth Vargas,
10,1,Tom Llamas,NBC,Broadcast TV,"12,908,194",,1,Exact app match,Tom Llamas,
11,1,Megyn Kelly,SIRIUSXM,Podcast,"12,803,872",,1,Exact app match,Megyn Kelly,
12,1,Scott Jennings,CNN,Cable TV,"12,672,831",,1,Exact app match,Scott Jennings,
13,1,Will Cain,FOX,Cable TV,"12,439,615",,1,Exact app match,Will Cain,
14,1,Connell McShane,NEWSNATION,Cable TV,"12,098,234",,1,Exact app match,Connell McShane,
15,1,Jesse Watters,FOX,Cable TV,"12,096,588",,1,Exact app match,Jesse Watters,
16,1,George Stephanopoulos,ABC,Broadcast TV,"11,585,786",,1,Exact app match,George Stephanopoulos,
17,1,Margaret Brennan,CBS,Broadcast TV,"11,217,609",,1,Exact app match,Margaret Brennan,
18,1,Martha MacCallum,FOX,Cable TV,"10,983,218",,1,Exact app match,Martha MacCallum,
19,1,Ezra Klein,NYT,Print,"10,774,514",,1,Exact app match,Ezra Klein,
20,1,Stephen A. Smith,YOUTUBE,Podcast,"10,921,443",,1,Exact app match,Stephen A. Smith,
21,1,Ari Shapiro,NPR,Radio,"10,375,766",,1,Exact app match,Ari Shapiro,
22,1,Nichole Berlie,NEWSNATION,Cable TV,"10,160,644",,1,Exact app match,Nichole Berlie,
23,1,Bret Baier,FOX,Cable TV,"9,962,958",Conservative,1,Exact app match,Bret Baier,
24,1,Norah O'Donnell,CBS,Broadcast TV,"9,764,829",,1,Exact app match,Norah O'Donnell,
25,1,Ben Shapiro,DAILYWIRE,Podcast,"9,706,126",Very Conservative,1,Exact app match,Ben Shapiro,
26,1,Ross Douthat,NYT,Print,"9,389,332",Conservative,1,Exact app match,Ross Douthat,
27,1,Piers Morgan,YOUTUBE,Digital Video,"9,316,976",Conservative,1,Exact app match,Piers Morgan,
28,1,Dana Perino,FOX,Cable TV,"9,152,883",Conservative,1,Exact app match,Dana Perino,
29,1,Blake Burman,NEWSNATION,Cable TV,"8,469,303",Conservative,1,Exact app match,Blake Burman,
30,1,Maggie Haberman,NYT,Print,"8,297,442",,1,Exact app match,Maggie Haberman,
31,1,Michael Smerconish,CNN,Cable TV,"8,131,629",,1,Exact app match,Michael Smerconish,
32,1,Mark Levin,FOX,Cable TV,"7,954,219",Very Conservative,1,Exact app match,Mark Levin,
33,1,Chris Cuomo,NEWSNATION,Cable TV,"7,696,559",,1,Exact app match,Chris Cuomo,
34,1,Chris Stirewalt,NEWSNATION,Cable TV,"7,564,156",Conservative,1,Exact app match,Chris Stirewalt,
35,1,Wolf Blitzer,CNN,Cable TV,"7,417,757",,1,Exact app match,Wolf Blitzer,
36,1,Jesse Weber,NEWSNATION,Cable TV,"7,272,474",,1,Exact app match,Jesse Weber,
37,1,Jessica Tarlov,FOX,Cable TV,"7,151,504",Very Liberal,1,Exact app match,Jessica Tarlov,
38,1,Craig Melvin,NBC,Broadcast TV,"6,993,676",,1,Exact app match,Craig Melvin,
39,1,Michael Knowles,DAILYWIRE,Podcast,"6,974,035",Very Conservative,1,Exact app match,Michael Knowles,
40,1,Brian Entin,NEWSNATION,Cable TV,"6,700,197",Liberal,1,Exact app match,Brian Entin,
41,1,Steve Inskeep,NPR,Radio,"6,621,499",,1,Exact app match,Steve Inskeep,
42,,Shannon Bream,FOX,Cable TV,"6,583,222",Conservative,,Not in app,,
43,1,John Dickerson,CBS,Broadcast TV,"6,305,151",,1,Exact app match,John Dickerson,
44,1,Brian Kilmeade,FOX,Cable TV,"6,024,046",Very Conservative,1,Exact app match,Brian Kilmeade,
